article_id,parameter_type,parameter_from_figure,parameter_value,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical,parameter_uncertainty_singe_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,distribution_type,distribution_par1_value,parameter_paired,parameter_type_2,parameter_value_2,parameter_range_low_2,parameter_range_upper_2,parameter_inverse_2,parameter_unit_2,parameter_value_type_2,parameter_supplement_2,parameter_statistical_2,parameter_unc_single_type_2,parameter_unc_single_value_2,parameter_unc_pair_type_2,parameter_unc_pair_value_low_2,parameter_unc_pair_value_up_2,distribution_par2_type,distribution_par2_value,genome_site,genomic_sequence_available,method_r,r_pathway,parameter_hd_from,other_delay_start,parameter_hd_to,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_by,method_disaggregated_only,parameter_context_human,parameter_context_nonhuman,parameter_context_genotype,population_sex,population_sample_size,parameter_context_sample_type,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,data_available ,parameter_notes,exponent,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,parameter_data_id,id
97,Seroprevalence - PRNT,FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not human,caiman,NA,Unspecified,66,blood,Non-human,Non-human,NA,NA,Brazil,Nhecolandia; Pantanal,Unspecified,NA,0,NA,2,2009,NA,1,2011,48a995ed-e30b-4c16-b92f-b86bd0a00805,8241d288-c52a-42d0-af1b-b1e2edd8e51f
97,Seroprevalence - PRNT,FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not human,"equines (horses, donkeys, mules)",NA,Unspecified,375,blood,Non-human,Non-human,NA,NA,Brazil,Nhecolandia and Nabileque; Pantanal,Unspecified,NA,0,NA,2,2009,NA,1,2011,9f6225ce-d886-4b24-9c78-c5cda02d1dbe,8241d288-c52a-42d0-af1b-b1e2edd8e51f
97,Seroprevalence - PRNT,FALSE,0.4,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not human,sheep,NA,Unspecified,232,blood,Non-human,Non-human,NA,NA,Brazil,Nhecolandia; Pantanal,Unspecified,9 ranches tested,0,NA,2,2009,NA,1,2011,be66cd73-181a-4eb1-9b1d-5e89b16ac15e,8241d288-c52a-42d0-af1b-b1e2edd8e51f
19,Infection prevalence - PCR [Oropouche ONLY],FALSE,1.4,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype I,Unspecified,69,serum,Community based,Persons under investigation,6,60,Brazil,"Acre, western Amazon region",Yes - on another platform,NA,0,NA,3,2004,NA,10,2006,5882abd5-f6d1-48b9-b29c-9990b6d9310e,18aca6b3-ea45-4c89-92ce-2e23282aa2a0
21,Infection prevalence - PCR [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,49,serum,Hospital based,Persons with symptoms,NA,NA,Brazil,Itaitura and Alenquer; Para state,Not available,Study group is febrile patients who tested negative for DENV,0,NA,NA,2016,NA,NA,2016,9bf99992-371a-42e4-8c76-ca5867f72925,dfb0ae3d-f5c4-4f4c-b454-7ef148b46ac3
30,Seroprevalence - HAI/HI,FALSE,0.7,0,0.8,FALSE,Percentage (%),Unspecified,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,298,NA,NA,NA,NA,NA,NA,Yes,NA,Age,Human,NA,NA,NA,298,plasma,Trade / business based,Other,20,49,Brazil,Manaus,Unspecified,Range comes from age disaggregation in the supplement,0,NA,1,2014,NA,12,2015,ef2819cf-66a6-4ffb-a6cd-1da808b123e6,5b6f7aef-ace0-4791-a80b-cfefb911d92b
113,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,340,plasma,Hospital based,Other,18,80,Brazil,Manaus; Amazonas,Yes - as an attachment,people with rashes with or without fever,0,NA,2,2018,NA,5,2019,d6187871-8ad5-4604-b67c-bf4064e40ed2,b2ff6e1c-f8f7-442b-8ea1-72737c34f0f7
113,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,340,urine,Hospital based,Other,18,80,Brazil,Manaus; Amazonas,Yes - as an attachment,"people with rashes with or without fever. Slightly unclear on urine for OROV but does seem to suggest yes: ""ZIKV, DENV, CHIKV, MAYV, OROV and measles infections were evaluated using RTqPCR (real-time polymerase chain reaction) analysis of plasma and urine.""",0,NA,2,2018,NA,5,2019,0a8436e5-5d1e-4698-abde-8252459fe761,b2ff6e1c-f8f7-442b-8ea1-72737c34f0f7
26,Human delay - other human delay (go to section),FALSE,NA,2,3,FALSE,Days,Case Study,No,Case Study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Resolution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,61,61,Brazil,Riberao Preto; Sao Paolo,Yes - with a DOI,"""On July 28, 2010, the patient reported sudden onset of fever, chills, intense malaise, arthralgia, and myalgia and was medicated for symptom alleviation. After 2–3 days, the symptoms subsided""",0,28,7,2010,NA,7,2010,105,ed50eb7c-a9fb-41aa-b80a-9e30f5be001c
26,Human delay - other human delay (go to section),FALSE,3,NA,NA,FALSE,Days,Case Study,No,Case Study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Resolution,NA,Symptom Recurrence ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,61,61,Brazil,Riberao Preto; Sao Paolo,Yes - with a DOI,"""After 2–3 days, the symptoms subsided for about 3 days,""",0,NA,7,2010,NA,7,2010,106,ed50eb7c-a9fb-41aa-b80a-9e30f5be001c
26,Human delay - other human delay (go to section),FALSE,2,NA,NA,FALSE,Days,Case Study,No,Case Study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Seeking Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Female,1,NA,Hospital based,Persons under investigation,18,18,Brazil,Riberao Preto; Sao Paolo,Yes - with a DOI,"""On the second day of disease, she sought medical care at the USPH.""",0,28,10,2010,NA,10,2010,107,ed50eb7c-a9fb-41aa-b80a-9e30f5be001c
26,Human delay - other human delay (go to section),FALSE,NA,5,6,FALSE,Days,Case Study,No,Case Study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Admission to Care/Hospitalisation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,61,61,Brazil,Riberao Preto; Sao Paolo,Yes - with a DOI,"""After 2–3 days, the symptoms subsided for about 3 days, but then relapsed and the patient was admitted at the USPH for further evaluation.""",0,NA,7,2010,NA,7,2010,108,ed50eb7c-a9fb-41aa-b80a-9e30f5be001c
59,Infection prevalence - PCR [Oropouche ONLY],FALSE,0.9,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,529,Naive,NA,NA,NA,NA,NA,Yes,No,"Age,Region,Sex",Human,NA,Genotype IA,Both,529,serum,Hospital based,Persons with symptoms,NA,NA,Brazil,Mato Grosso,Unspecified,partial sequences for all 5 patients who had positive serum PCR are provided within the paper,0,NA,10,2011,NA,7,2012,e6cc90b5-61cf-4f7e-b380-f934e6883094,195a6766-96b4-428e-b1e9-7cc867dc7a75
59,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype Ia,Both,65,serum,Hospital based,Persons with symptoms,NA,NA,Brazil,Varzea Grande; Mato Grosso,Unspecified,NA,0,NA,10,2011,NA,7,2012,98da0928-8594-4ece-819b-8fecc97d18d8,195a6766-96b4-428e-b1e9-7cc867dc7a75
59,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,396,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype Ia,Both,396,serum,Hospital based,Persons with symptoms,NA,NA,Brazil,Cuiaba; Mato Grosso,Unspecified,NA,0,NA,10,2011,NA,7,2012,203f6b7a-4d09-4dd4-8256-a63353d2bec5,195a6766-96b4-428e-b1e9-7cc867dc7a75
59,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,68,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype Ia,Both,68,serum,Hospital based,Persons with symptoms,NA,NA,Brazil,Mato Grosso cities; except Cuiaba and Varzea Grande,Unspecified,NA,0,NA,10,2011,NA,7,2012,193e8335-822b-418a-907d-578d3000dfa0,195a6766-96b4-428e-b1e9-7cc867dc7a75
59,Infection prevalence - PCR [Oropouche ONLY],FALSE,2,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,387,Naive,NA,NA,NA,NA,NA,No,No,NA,Not human,Culex quinquefasciatus,Genotype Ia,Both,387,Mosquitoes,Non-human,Non-human,NA,NA,Brazil,Cuiaba; Mato Grosso,Unspecified,NA,0,NA,1,2013,NA,4,2013,fbd983c1-9dd7-46a8-857c-06abb20ef5f5,195a6766-96b4-428e-b1e9-7cc867dc7a75
59,Human delay - other human delay (go to section),FALSE,NA,2,3,FALSE,Days,Case Study,No,Case study [Oropouche ONLY],NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Resolution,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,Human,NA,Genotype Ia,Both,5,NA,Hospital based,Persons with symptoms,NA,NA,Brazil,Mato Grosso,Unspecified,NA,0,NA,10,2011,NA,7,2012,6c4316cf-af3b-431b-90fe-7cea452ad401,195a6766-96b4-428e-b1e9-7cc867dc7a75
114,Infection prevalence - Other [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not human,mosquitoes (46 subspecies),NA,Female,3750,NA,Non-human,Non-human,NA,NA,Brazil,Rio Pardo rural settlement; Amazonas,Unspecified,positives in 3 of 671 pools of up to 10 mosquitoes each,0,NA,6,2016,NA,12,2016,3bbd07f7-4a20-44ca-aa09-8d7c58575ca8,a8d9c02e-9353-466e-91b9-67db6cd12b66
18,Human delay - other human delay (go to section),FALSE,3,NA,NA,FALSE,Days,Case Study,No,Case Study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,52,52,Brazil,Ananindeua City,Yes - with a DOI,"""A 52-year-old man living in Ananindeua City, Brazil, was clinically examined on the third day of illness and experienced high fever, with episodes of focal seizures persisting for 3 days.""",0,NA,NA,NA,NA,NA,NA,109,705f97ce-644c-472a-a416-da127df39bdb
39,Seroprevalence - IgM,FALSE,4.6,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,130,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,130,blood,Hospital based,Persons with symptoms,NA,NA,Brazil,Goiania; Central Brazil,Not available,NA,0,NA,NA,2011,NA,NA,2013,78f7222f-cfea-4384-83fc-85db2f609341,83ed4431-4c3d-42bd-aa26-104acfc714df
39,Seroprevalence - Unspecified,FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,130,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,130,blood,Hospital based,Persons with symptoms,NA,NA,Brazil,Goiania; Central Brazil,Unspecified,'unspecified' is IgM/IgG (combined),0,NA,NA,2011,NA,NA,2013,ba6b6158-9608-4835-aee4-34c09c824a4d,83ed4431-4c3d-42bd-aa26-104acfc714df
39,Infection prevalence - PCR [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,130,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,130,blood,Hospital based,Persons with symptoms,NA,NA,Brazil,Goiania; Central Brazil,Unspecified,NA,0,NA,NA,2011,NA,NA,2013,05e2b3a4-d938-4ba2-8a9c-50866e703feb,83ed4431-4c3d-42bd-aa26-104acfc714df
40,Infection prevalence - PCR [Oropouche ONLY],FALSE,34,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,68,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,68,blood,Household based,Persons with symptoms,NA,NA,Brazil,Quatro Bocas and nearby localities,Not available,NA,0,NA,7,1978,NA,9,1978,5fc47bd3-cd1a-4c0b-9853-be6ffe193c4f,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - PCR [Oropouche ONLY],FALSE,33,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,21,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,21,NA,Trade / business based,Occupation [Oropouche ONLY],NA,NA,Brazil,Quatro Bocas and nearby localities,Not available,this is the study team who ended up getting infected during their work,0,NA,7,1978,NA,9,1978,9e5c785b-bc44-4cc2-8e51-b6e45fc31c71,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,1.5,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,462,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,462,NA,Community based,Unspecified,NA,NA,Brazil,Quatro Bocas; Tome Acu and surrounding areas,Not available,can be considered 'preepidemic estimate',0,NA,NA,1974,NA,NA,1974,f6534fa1-6d74-4f34-b27c-38d3bb21327d,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,19.5,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,292,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,292,blood,Community based,General population,NA,NA,Brazil,Tome Acu,Not available,"""At that time persons residing in either Tome Afu or Quatro Bocas were bled, and their sera were tested by HI for antibody to OROV virus."" - all details given on study population",0,NA,5,1979,NA,6,1979,75d5c74b-b553-4071-8aff-f69155629c18,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,43,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,195,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,195,blood,Community based,General population,NA,NA,Brazil,Quatro Bocas,Not available,"""At that time persons residing in either Tome Afu or Quatro Bocas were bled, and their sera were tested by HI for antibody to OROV virus."" - all details given on study population",0,NA,5,1978,NA,6,1978,4fe2f2ae-3b64-4bea-b077-954985723970,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,1.3,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,80,sera,Community based,Unspecified,NA,NA,Brazil,five villages outside Quatro Bocas (unspecified),Not available,corresponds to 'pre-outbreak',0,NA,7,1978,NA,7,1978,caecc35f-baf9-4952-8ed0-ae0a8d91a823,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,36.5,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,80,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,80,sera,Community based,Unspecified,NA,NA,Brazil,five villages outside Quatro Bocas,Not available,NA,0,NA,5,1979,NA,5,1979,a9cb963c-4e2b-4a9e-a160-b3b1fe2affd1,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - Other [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61372,NA,NA,NA,NA,NA,NA,Yes,No,Other,Not human,Culicoides paraensis; aedes oligopistus; ae scapularis; ae serratus; anopheles albitarsis; culex coronator; cx corniger; cx declarator; cx fatigans; psorophora cingulata; ps ferox; trichoprosopon digitatum,NA,Unspecified,61372,NA,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and Tome Acu,Not available,"did pooled testing of these different insect types so not reportable as a prevalence, just as presence/absence. OROV virus found in 4 pools of 393 pools total",0,NA,8,1978,NA,10,1978,cb7de46f-e87e-402b-8ae6-846d93c8cb81,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - Other [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,460,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,wild birds,NA,Unspecified,460,blood,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,98f6242e-64d0-4f0c-b119-aff29433c9db,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - Other [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,domestic birds,NA,Unspecified,139,blood,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,e66fbb9b-4d5a-402e-967c-49e950b2c3f5,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - Other [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,bats,NA,Unspecified,24,blood,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,c932e2e5-cfe4-4942-8304-97cd20b8b82a,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Infection prevalence - Other [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,cat,NA,Unspecified,1,blood,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,1f19d8c0-08ae-4c09-9530-471f187f271e,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,bats,NA,Unspecified,17,plasma,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,0007986c-eb52-4c5b-a747-d642cd8ee5aa,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,Tyrannidae,NA,Unspecified,46,sera,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,2e39e646-2bca-471d-9a8c-287f33171323,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
40,Seroprevalence - HAI/HI,FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,60,NA,NA,NA,NA,NA,NA,No,No,NA,Not human,Fringillidae,NA,Unspecified,60,sera,Non-human,Non-human,NA,NA,Brazil,Quatro Bocas and surrounding forests,Not available,NA,0,NA,NA,NA,NA,NA,NA,a8426685-83c2-439f-9d44-c249ce4f146e,ef3b93b6-419d-4cce-9f45-1ef3f3087b85
